id,skills
93888553,высокая скорость печати
93888553,протоколирование
93888553,cистемы управления базами данных
93888553,организация деловых поездок
93888553,многозадачность
93888553,организация совещаний
93888553,системное мышление
93888553,ведение отчетности
93888553,excel
93888553,excel
93888553,работа с большим объемом информации
93888553,1с: предприятие
93889849,статистика
93889849,python
93889849,pandas
93889849,ms sql
93889849,clickhouse
93889849,data analysis
93889849,dwh
93889849,sql
93889849,аналитическое мышление
93921546,bi
93921546,автоматизация процессов
93921546,power bi
93921546,расстановка приоритетов
93921546,анализ бизнес показателей
93921546,excel
93921546,подготовка отчетов
93921546,бизнес-анализ
93921546,деловая коммуникация
93921546,sql
93921546,оптимизация бизнес-процессов
93921546,корпоративная этика
93921546,планирование
93921546,прогнозирование
93921546,аналитическое мышление
93921546,аналитика
93921546,статистика
93921546,лидерство
93921546,стратегическое мышление
93921546,управленческая отчетность
93921546,работа с большим объемом информации
93921546,организаторские навыки
93923169,
93923169,статистика
93923169,excel
93923169,vba
93923169,sql
93929952,
93929952,статистика
93929952,numpy
93929952,etl
93929952,python
93929952,pandas
93929952,clickhouse
93929952,data analysis
93929952,dwh
93929952,postgresql
93929952,sql
93932346,git
93932346,статистика
93932346,etl
93932346,python
93950123,статистический анализ
93950123,python
93950123,dwh
93950123,tableau
93950123,sql
93962100,numpy
93962100,python
93962100,pandas
93962100,прогнозирование
93962100,excel
93962100,sql
93962100,power query
94018783,статистика
94018783,excel
94019254,ms sql
94019254,sql oracle
94019254,администрирование бд
94019254,excel
94019254,корпоративное хранилище данных
94019254,sql
94019254,oracle
94024542,
94024542,bi
94024542,python
94024542,pandas
94024542,ad hoc analysis
94024542,sql
94044021,roas
94044021,improvado
94044021,pandas
94044021,tableau
94044021,metabase
94044021,scipy
94044021,python
94044021,apache superset
94044021,amplitude
94044021,mixpanel
94044021,plotly
94044021,appsflyer
94044021,sql
94044021,модели атрибуции
94044021,jetstat
94044021,firebase
94044021,appmetrica
94044021,google analytics
94044021,roi
94044021,a/b test
94044021,airflow
94044021,яндекс.метрика
94047551,pytorch
94047551,tensorflow
94047551,api
94047551,llm
94047551,docker
94047551,sql
94047551,git
94047551,nlp
94094303,ms sql
94094303,oracle
94100628,bi
94100628,статистика
94100628,etl
94100628,английский язык
94100628,python
94100628,numpy
94100628,pandas
94100628,power bi
94100628,clickhouse
94100628,data analysis
94100628,tableau
94100628,a/b test
94100628,sql
94100628,git
94100628,airflow
94100628,postgresql
94100637,bi
94100637,статистика
94100637,etl
94100637,английский язык
94100637,python
94100637,numpy
94100637,pandas
94100637,power bi
94100637,clickhouse
94100637,data analysis
94100637,tableau
94100637,a/b test
94100637,sql
94100637,git
94100637,airflow
94100637,postgresql
94107058,bi
94107058,dwh
94107058,sql
